id,create_date,description,details,title,image
1,2019-04-29,My first digital painting.,"Pocahontas, Walt Disney Pictures, 1995",Pocahontas,images/paintings_img/pocahontas.png
2,2019-07-23,Painting of my hand from art classes.,,Hand,images/paintings_img/hand.png
